docid,adj,adp,adv,aux,cconj,det,intj,noun,num,pron,propn,punct,sconj,sym,verb
337988,0,0.14285714285714285,0.07142857142857142,0,0.07142857142857142,0.07142857142857142,0,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0,0,0.07142857142857142
3380733,0.08196721311475409,0.06557377049180328,0.03278688524590164,0.01639344262295082,0,0.06557377049180328,0,0.26229508196721313,0,0.06557377049180328,0.04918032786885246,0.14754098360655737,0.03278688524590164,0,0.18032786885245902
3381407,0.05333333333333334,0.08,0.02666666666666667,0.05333333333333334,0.013333333333333334,0.09333333333333334,0,0.18666666666666668,0.013333333333333334,0.06666666666666667,0.14666666666666667,0.14666666666666667,0,0,0.12
3384241,0.075,0.0875,0.0625,0.0625,0.0125,0.0625,0.0125,0.2,0.025,0.0625,0.125,0.1,0,0,0.1125
3384296,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.02631578947368421,0,0.09210526315789473,0,0.3157894736842105,0,0.07894736842105263,0.02631578947368421,0.13157894736842105,0.013157894736842105,0,0.15789473684210525
3388375,0.047619047619047616,0.07142857142857142,0.047619047619047616,0.05952380952380952,0.011904761904761904,0.08333333333333333,0,0.21428571428571427,0,0.08333333333333333,0.08333333333333333,0.11904761904761904,0.011904761904761904,0,0.16666666666666666
3395664,0.060240963855421686,0.07228915662650602,0.03614457831325301,0.03614457831325301,0,0.10843373493975904,0,0.1927710843373494,0,0.08433734939759036,0.12048192771084337,0.13253012048192772,0.012048192771084338,0,0.14457831325301204
3396028,0.06944444444444445,0.06944444444444445,0.027777777777777776,0.05555555555555555,0.013888888888888888,0.1111111111111111,0,0.19444444444444445,0.013888888888888888,0.06944444444444445,0.08333333333333333,0.1111111111111111,0.013888888888888888,0,0.16666666666666666
3399077,0.0641025641025641,0.07692307692307693,0.038461538461538464,0.0641025641025641,0.01282051282051282,0.08974358974358974,0,0.14102564102564102,0,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.02564102564102564,0,0.15384615384615385
3403657,0.08450704225352113,0.07042253521126761,0.028169014084507043,0.056338028169014086,0,0.11267605633802817,0,0.23943661971830985,0,0.056338028169014086,0.09859154929577464,0.1267605633802817,0,0,0.1267605633802817
3416895,0.08695652173913043,0.057971014492753624,0.043478260869565216,0.057971014492753624,0,0.08695652173913043,0,0.21739130434782608,0,0.10144927536231885,0.07246376811594203,0.11594202898550725,0,0,0.15942028985507245
3418852,0.025,0.075,0.025,0.025,0.0125,0.1375,0,0.2125,0,0.0625,0.1,0.15,0.0125,0,0.1625
3421256,0.05194805194805195,0.06493506493506493,0.05194805194805195,0.025974025974025976,0.012987012987012988,0.06493506493506493,0,0.2077922077922078,0.012987012987012988,0.1038961038961039,0.07792207792207792,0.15584415584415584,0,0,0.16883116883116883
3424807,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.06944444444444445,0,0.08333333333333333,0,0.25,0,0.08333333333333333,0.06944444444444445,0.1111111111111111,0,0,0.16666666666666666
3438416,0.0759493670886076,0.05063291139240506,0.05063291139240506,0.06329113924050633,0.012658227848101266,0.11392405063291139,0.012658227848101266,0.20253164556962025,0,0.06329113924050633,0.06329113924050633,0.13924050632911392,0,0,0.1518987341772152
3441465,0.056338028169014086,0.08450704225352113,0.056338028169014086,0.08450704225352113,0,0.04225352112676056,0,0.23943661971830985,0.014084507042253521,0.09859154929577464,0.056338028169014086,0.1267605633802817,0,0,0.14084507042253522
3442270,0.05063291139240506,0.08860759493670886,0.02531645569620253,0.06329113924050633,0.012658227848101266,0.10126582278481013,0.012658227848101266,0.20253164556962025,0,0.06329113924050633,0.11392405063291139,0.11392405063291139,0,0,0.1518987341772152
3443203,0.07142857142857142,0.05952380952380952,0.05952380952380952,0.047619047619047616,0.011904761904761904,0.13095238095238096,0.011904761904761904,0.2857142857142857,0,0.05952380952380952,0,0.13095238095238096,0,0,0.13095238095238096
3443945,0.05194805194805195,0.1038961038961039,0.05194805194805195,0.03896103896103896,0,0.1038961038961039,0,0.23376623376623376,0,0.06493506493506493,0.1038961038961039,0.12987012987012986,0.012987012987012988,0,0.1038961038961039
3448267,0.013157894736842105,0.10526315789473684,0.05263157894736842,0.039473684210526314,0.013157894736842105,0.10526315789473684,0,0.23684210526315788,0.013157894736842105,0.05263157894736842,0.10526315789473684,0.11842105263157894,0.013157894736842105,0,0.13157894736842105
3450747,0.039473684210526314,0.05263157894736842,0.039473684210526314,0.06578947368421052,0,0.07894736842105263,0.013157894736842105,0.18421052631578946,0,0.06578947368421052,0.10526315789473684,0.13157894736842105,0.02631578947368421,0,0.19736842105263158
3460617,0.08108108108108109,0.0945945945945946,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.0945945945945946,0,0.24324324324324326,0,0.06756756756756757,0.06756756756756757,0.12162162162162163,0.013513513513513514,0,0.13513513513513514
3466214,0.06666666666666667,0.06666666666666667,0.05333333333333334,0.05333333333333334,0,0.10666666666666667,0,0.24,0,0.08,0.12,0.10666666666666667,0,0,0.10666666666666667
3467472,0.0684931506849315,0.0684931506849315,0.0547945205479452,0.0410958904109589,0,0.0684931506849315,0,0.2328767123287671,0,0.0821917808219178,0.0821917808219178,0.1232876712328767,0,0,0.1780821917808219
3468670,0.08974358974358974,0.07692307692307693,0.0641025641025641,0.038461538461538464,0,0.11538461538461539,0,0.2692307692307692,0,0.05128205128205128,0.038461538461538464,0.1282051282051282,0,0,0.1282051282051282
3468923,0.07792207792207792,0.09090909090909091,0.05194805194805195,0.05194805194805195,0,0.1038961038961039,0,0.23376623376623376,0,0.06493506493506493,0.07792207792207792,0.11688311688311688,0,0,0.12987012987012986
3470766,0.05405405405405406,0.08108108108108109,0.02702702702702703,0.05405405405405406,0,0.10810810810810811,0,0.21621621621621623,0,0.08108108108108109,0.08108108108108109,0.12162162162162163,0.013513513513513514,0,0.16216216216216217
3474689,0.0684931506849315,0.0547945205479452,0.0410958904109589,0.0410958904109589,0.0136986301369863,0.0958904109589041,0,0.2465753424657534,0,0.0821917808219178,0.0547945205479452,0.1232876712328767,0,0,0.1780821917808219
3482790,0.0375,0.0875,0.025,0.0375,0.0125,0.075,0,0.2375,0.0125,0.0875,0.1125,0.1125,0.0125,0,0.15
3486043,0.06329113924050633,0.06329113924050633,0.05063291139240506,0.06329113924050633,0,0.0759493670886076,0,0.25316455696202533,0.012658227848101266,0.0759493670886076,0.06329113924050633,0.12658227848101267,0.012658227848101266,0,0.13924050632911392
3495898,0.02666666666666667,0.06666666666666667,0.04,0.013333333333333334,0.013333333333333334,0.09333333333333334,0,0.24,0.02666666666666667,0.08,0.09333333333333334,0.12,0.013333333333333334,0,0.17333333333333334
349808,0.09166666666666666,0.06666666666666667,0.05,0.13333333333333333,0.025,0.09166666666666666,0.008333333333333333,0.2,0.025,0.08333333333333333,0.025,0.075,0.03333333333333333,0,0.09166666666666666
3502548,0.0641025641025641,0.07692307692307693,0.05128205128205128,0.05128205128205128,0,0.11538461538461539,0,0.20512820512820512,0,0.07692307692307693,0.08974358974358974,0.14102564102564102,0,0,0.1282051282051282
3520853,0.12,0.09333333333333334,0.04,0.04,0.02666666666666667,0.10666666666666667,0,0.26666666666666666,0.013333333333333334,0.05333333333333334,0.013333333333333334,0.12,0,0,0.10666666666666667
3522537,0.06578947368421052,0.11842105263157894,0.02631578947368421,0.039473684210526314,0,0.11842105263157894,0,0.23684210526315788,0,0.05263157894736842,0.09210526315789473,0.11842105263157894,0.013157894736842105,0,0.11842105263157894
